日経平均先物,期近限月つなぎ,日中夜間
日付,時刻,始値,高値,安値,終値,出来高,売買代金
2013-10-30,夜間,14550,14590,14450,14450,17566,255419540
2013-10-30,日中,14480,14540,14430,14540,40289,583717410
2013-10-29,夜間,14350,14470,14330,14460,14524,208992230
2013-10-29,日中,14290,14410,14220,14340,43805,627085350
2013-10-28,夜間,14360,14380,14300,14330,11498,164912950
2013-10-28,日中,14270,14410,14200,14370,53566,766842690
2013-10-25,夜間,14110,14230,14100,14170,14347,203431410
2013-10-25,日中,14450,14450,14090,14120,80561,1145928390
2013-10-24,夜間,14450,14460,14390,14410,13503,194802250
2013-10-24,日中,14350,14510,14280,14480,72021,1035395370
2013-10-23,夜間,14410,14440,14260,14300,27236,390141900
2013-10-23,日中,14780,14800,14410,14430,74732,1090061250
2013-10-22,夜間,14710,14840,14660,14770,19818,292250550
2013-10-22,日中,14700,14770,14650,14710,34046,500929010
2013-10-21,夜間,14680,14740,14670,14690,7726,113539060
2013-10-21,日中,14630,14750,14630,14710,38356,563461140
2013-10-18,夜間,14570,14670,14530,14660,12100,176622330
2013-10-18,日中,14600,14630,14510,14590,30624,446561860
